ID,Pred
2014_1107_1110,0.4294570539902199
2014_1107_1112,0.1894246446670191
2014_1107_1113,0.3950579901121619
2014_1107_1124,0.3838013051884133
2014_1107_1140,0.3838013051884133
2014_1107_1142,0.708905767204648
2014_1107_1153,0.23828755168653118
2014_1107_1157,0.4574928453783119
2014_1107_1160,0.3733190923117153
2014_1107_1163,0.2851536896038466
2014_1107_1166,0.26417866991744604
2014_1107_1173,0.3517914888780988
2014_1107_1174,0.3131656548923176
2014_1107_1181,0.2851536896038466
2014_1107_1184,0.3387361976282393
2014_1107_1196,0.15172825779708105
2014_1107_1203,0.2989715497101041
2014_1107_1211,0.23828755168653118
2014_1107_1217,0.20398671706083493
2014_1107_1234,0.4294570539902199
2014_1107_1235,0.26417866991744604
2014_1107_1242,0.3210603610801289
2014_1107_1243,0.4294570539902199
2014_1107_1246,0.3426105127167261
2014_1107_1257,0.21080588521397645
2014_1107_1264,0.27007671466857064
2014_1107_1269,0.2989715497101041
2014_1107_1272,0.3387361976282393
2014_1107_1273,0.306709876051602
2014_1107_1276,0.2918052748193704
2014_1107_1277,0.2851536896038466
2014_1107_1291,0.5705429357970443
2014_1107_1295,0.2660954559195824
2014_1107_1300,0.22176824544483484
2014_1107_1301,0.43766423475949895
2014_1107_1304,0.44297764906258885
2014_1107_1307,0.23828755168653118
2014_1107_1308,0.3131656548923176
2014_1107_1314,0.3295620032656147
2014_1107_1326,0.3131656548923176
2014_1107_1328,0.3295620032656147
2014_1107_1329,0.4168506837571335
2014_1107_1332,0.3295620032656147
2014_1107_1338,0.3131656548923176
2014_1107_1344,0.3733190923117153
2014_1107_1361,0.19749789893191563
2014_1107_1372,0.15508841092950046
2014_1107_1386,0.3210603610801289
2014_1107_1387,0.2480990742595035
2014_1107_1390,0.4168506837571335
2014_1107_1393,0.21783972807905727
2014_1107_1397,0.4294570539902199
2014_1107_1400,0.3517914888780988
2014_1107_1409,0.4168506837571335
2014_1107_1411,0.49999999478992435
2014_1107_1417,0.2851536896038466
2014_1107_1418,0.40716415386196864
2014_1107_1433,0.2851536896038466
2014_1107_1437,0.19460932080196333
2014_1107_1438,0.23390410176360696
2014_1107_1444,0.3387361976282393
2014_1107_1451,0.4494471234257856
2014_1107_1454,0.4506645788699821
2014_1107_1455,0.12041916574603741
2014_1107_1458,0.26417866991744604
2014_1107_1459,0.4730886689670551
2014_1107_1462,0.4168506837571335
2014_1110_1112,0.23691168409624197
2014_1110_1113,0.4645512335127593
2014_1110_1124,0.4527965392062312
2014_1110_1140,0.4527965392062312
2014_1110_1142,0.7638929298871217
2014_1110_1153,0.29358736000531377
2014_1110_1157,0.528376138470787
2014_1110_1160,0.441780947814185
2014_1110_1163,0.3463838734621849
2014_1110_1166,0.3229396386866934
2014_1110_1173,0.41894467501426336
2014_1110_1174,0.3772365848347221
2014_1110_1181,0.3463838734621849
2014_1110_1184,0.4049541638607138
2014_1110_1196,0.19200364125932556
2014_1110_1203,0.3616676497372278
2014_1110_1211,0.29358736000531377
